ISO 27001:2022 Annex A Control,Control Name,NIST CSF v2.0 Function / Category,PCI DSS v4.0 Control (with brief),Control Description (Banking Context),Typical Required Evidence,,,,,ISO 27001 Clause,Clause Name,NIST CSF v2 Mapping ,PCI DSS v4.0 Mapping,Clause Description (Banking Context),Typical Required Evidence
A.5.1,Policies for information security,GV.PO – Policy & Governance (establish governance structure),Req. 12 – Define security responsibilities and scope (Establish and maintain board-approved information security policies),"Establishes board-approved information security policies governing banking operations, digital channels, and third parties","Approved ISMS policy, Board minutes, policy review records",,,,,4.1,Understanding the organization and its context,"GV.OC – Organizational Context (understand mission, regulatory landscape, risk environment)",Req. 12 – Define security responsibilities and scope,"Bank identifies internal/external issues such as regulatory obligations, threat landscape, digital banking risks","Context analysis, regulatory landscape document"
A.5.7,Threat intelligence,ID.RA – Risk Assessment (identify and analyze risks),Req. 12.3.2 (Identify sector-specific threats and vulnerabilities),"Identifies financial-sector threats (fraud, APTs, ransomware, SWIFT threats)","Threat intel feeds, SOC reports, risk updates",,,,,4.2,Understanding needs and expectations of interested parties,GV.OC – Stakeholder expectations (identify stakeholders and their requirements),Req. 12 – Identify external obligations,"Identifies regulators, customers, payment schemes, partners, and their security expectations","Stakeholder register, compliance obligations matrix"
A.5.8,Information security in project management,GV.RM – Risk Management Strategy (set measurable objectives),Req. 6.3.2 (Embed security into development and projects),"Ensures security is embedded in core banking, mobile apps, and payment system projects","Secure SDLC documents, project risk assessments",,,,,4.3,Determining the scope of the ISMS,GV.SC – Supply Chain & Scope (define boundaries and dependencies),Req. 12.1 – Define scope of compliance,"Defines scope covering core banking, digital channels, payment systems, vendors","ISMS scope statement, network diagrams"
A.5.19,Information security in supplier relationships,GV.SC – Supply Chain & Scope (define boundaries and dependencies),Req. 12.8 (Manage third-party risks),"Manages risks from fintechs, cloud providers, payment processors","Vendor risk assessments, contracts, SLAs",,,,,4.4,Information security management system,GV.PO – Policy & Governance (establish governance structure),Req. 12 – Maintain an information security program,Establishes ISMS framework governing all banking information assets,"ISMS manual, process interaction diagrams"
A.5.23,Information security for use of cloud services,PR.DS – Data Security (CIA),"Req. 12.3, 12.8 (Protect cloud workloads and manage cloud risks)",Protects banking workloads hosted on public/private cloud,"Cloud risk assessments, shared responsibility matrix",,,,,5.1,Leadership and commitment,GV.OV – Oversight (senior leadership accountability),Req. 12.4 – Assign security responsibilities,Board and executive management actively sponsor information security,"Board minutes, security steering committee records"
A.6.1,Screening,GV.RR – Roles & Responsibilities (clear accountability),Req. 12.7 (Perform personnel background verification),Background verification of bank employees and contractors,"HR screening records, background check confirmations",,,,,5.2,Information security policy,"GV.PO – Policy (documented, approved policies)",Req. 12.1 – Establish and maintain security policies,High-level security policy guiding bank-wide controls,"Approved policy, policy review evidence"
A.6.3,"Information security awareness, education and training",PR.AT – Awareness & Training (ensure skilled workforce),Req. 12.6 (Train personnel on security and awareness),"Trains staff on phishing, fraud, data privacy, and insider risk","Training attendance logs, phishing simulation results",,,,,5.3,"Organizational roles, responsibilities and authorities",GV.RR – Roles & Responsibilities (clear accountability),Req. 12.4 – Define and assign responsibilities,"Defines CISO, SOC, risk owners, data owners","RACI matrix, job descriptions"
A.8.1,User endpoint devices,PR.AT – Awareness & Training (ensure skilled workforce),"Req. 2, 5 (Secure systems and protect against malware)",Secures employee laptops used for banking operations,"Endpoint hardening standards, EDR reports",,,,,6.1,Actions to address risks and opportunities,ID.RA – Risk Assessment (identify and analyze risks),Req. 12.2 – Perform risk assessments,"Bank identifies cyber, fraud, operational, and regulatory risks","Risk assessment reports, risk register"
A.8.2,Privileged access rights,"PR.AA – Identity Management, Authentication, and Access Control (access to physical and logical assets is limited)","Req. 7, 8 (Control access and enforce authentication)","Controls admin access to core banking, databases, SWIFT, payment systems","PAM logs, access approval records",,,,,6.2,Information security objectives and planning,GV.RM – Risk Management Strategy (set measurable objectives),Req. 12 – Define security goals,Establishes measurable security objectives aligned with business goals,"Security KPIs, objectives tracking"
A.8.3,Information access restriction,"PR.AA – Identity Management, Authentication, and Access Control (access to physical and logical assets is limited)",Req. 7 (Enforce least privilege),Enforces least privilege for customer and financial data,"Access matrices, IAM role definitions",,,,,6.3,Planning of changes,GV.RM – Change Risk Management (manage risk from change),Req. 6.5 – Control changes securely,Ensures security impact assessment for changes to banking systems,"Change management procedures, approvals"
A.8.5,Secure authentication,"PR.AA – Identity Management, Authentication, and Access Control (access to physical and logical assets is limited)",Req. 8 (Implement strong authentication),Strong authentication for staff and customers (MFA),"MFA configs, authentication policies",,,,,7.1,Resources,GV.OV – Resource Allocation (provide adequate resources),Req. 12.10 – Ensure response capability,"Bank allocates budget, staff, and tools for security operations","Budget approvals, staffing plans"
A.8.7,Protection against malware,PR.AT – Awareness & Training (ensure skilled workforce),Req. 5 (Protect systems from malware),Prevents malware targeting banking systems and ATMs,"AV/EDR dashboards, incident logs",,,,,7.2,Competence,PR.AT – Awareness & Training (ensure skilled workforce),Req. 12.6 – Train personnel,Ensures staff handling banking systems are competent,"Training records, certifications"
A.8.9,Configuration management,PR.IP – Information Protection Processes (operate securely),Req. 2 (Maintain secure configurations),"Maintains secure baseline configurations for servers, databases, network devices","Configuration baselines, change records",,,,,7.3,Awareness,PR.AT – Awareness (security awareness culture),Req. 12.6 – Security awareness programs,"Staff aware of phishing, fraud, insider threats","Awareness campaign materials, test results"
A.8.12,Data leakage prevention,PR.DS – Data Security (CIA),Req. 3 (Protect cardholder and sensitive data),Prevents unauthorized disclosure of customer and card data,"DLP policies, alert reports",,,,,7.4,Communication,GV.CO – Communication (internal and external communication),Req. 12.10 – Incident communication,"Defines communication with regulators, customers, and partners","Communication plans, regulator notification procedures"
A.8.15,Logging,DE.CM – Continuous Monitoring (assets are monitored),Req. 10 (Logging and monitoring),Logs transactions and system events for fraud detection and investigations,"SIEM logs, log retention policy",,,,,7.5,Documented information,GV.PO – Documentation (maintain and control documents),Req. 12 – Maintain policies and procedures,Controlled documentation for banking security processes,"Document control logs, version history"
A.8.16,Monitoring activities,DE.CM – Continuous Monitoring (assets are monitored),Req. 10 (Continuous monitoring),Continuous monitoring of banking systems for suspicious activity,"SOC dashboards, monitoring procedures",,,,,8.1,Operational planning and control,PR.IP – Information Protection Processes (operate securely),Req. 6 – Secure operations,Day-to-day secure operation of banking systems,"SOPs, operational logs"
A.8.23,Web filtering,PR.AT – Awareness & Training (ensure skilled workforce),Req. 5 (Control web access),Prevents access to malicious sites from bank networks,Proxy/web gateway logs,,,,,9.1,"Monitoring, measurement, analysis and evaluation",DE.CM – Continuous Monitoring (monitor effectiveness),Req. 10 – Track and monitor activity,Measures security performance and detects anomalies,"SIEM reports, KPI dashboards"
A.8.24,Use of cryptography,PR.DS – Data Security (CIA),"Req. 3, 4 (Encrypt data at rest and in transit)",Encrypts customer data at rest and in transit,"Encryption standards, key management records",,,,,9.2,Internal audit,GV.OV – Assurance (independent evaluation),Req. 12.11 – Regular security testing,Internal audits validate ISMS effectiveness,"Audit plans, reports, corrective actions"
A.8.28,Secure coding,PR.IP – Information Protection Processes (operate securely),Req. 6 (Secure software development),Prevents vulnerabilities in online and mobile banking apps,"Secure code reviews, SAST/DAST reports",,,,,9.3,Management review,GV.OV – Management Review (top management evaluation),Req. 12 – Management oversight,Senior management reviews ISMS performance,Management review minutes
A.8.29,Security testing in development and acceptance,PR.IP – Information Protection Processes (operate securely),Req. 11 (Security testing and validation),Validates security before production release,"Pen test reports, UAT sign-off",,,,,10.1,Nonconformity and corrective action,GV.IM – Improvement (address deficiencies),Req. 12.10.5 – Post-incident improvements,Bank corrects audit findings and incidents,"Corrective action plans, root cause analysis"
A.8.32,Change management,PR.IP – Information Protection Processes (operate securely),Req. 6.5 (Control changes securely),Controls changes to core banking and payment systems,"Change tickets, approvals",,,,,10.2,Continual improvement,GV.IM – Continuous Improvement (enhance security posture),Req. 12 – Ongoing improvement,Continuous enhancement of security maturity,"Improvement roadmap, trend analysis"
A.8.33,Test information,PR.DS – Data Security (CIA),Req. 3 (Protect test data),Prevents use of real customer data in testing,Data masking evidence,,,,,,,,,,
A.8.34,Protection of information systems during audit,PR.IP – Information Protection Processes (operate securely),Req. 12 (Audit and operational protection),Ensures audits don’t disrupt critical banking services,"Audit procedures, access logs",,,,,,,,,,
A.5.30,ICT readiness for business continuity,RC.RP – Recovery Planning,Req. 12.10 (Ensure business continuity and resilience),Ensures resilience of banking operations,"BCP/DR plans, DR test results",,,,,,,,,,
A.5.35,Independent review of information security,"GV.OV – Organizational Context (understand mission, regulatory landscape, risk environment)",Req. 12 (Independent assurance),Periodic independent assurance of security controls,Internal/external audit reports,,,,,,,,,,
A.5.36,Compliance with policies and standards,"GV.OV – Organizational Context (understand mission, regulatory landscape, risk environment)",Req. 12 (Compliance monitoring),Ensures compliance with regulatory and internal requirements,"Compliance reports, issue tracking",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Control No.,Control Name,Applicability,Justification,,,,,,,,
,,,,A.5.23,Information security for use of cloud services,Not Applicable,"The bank does not use cloud services (public, private, or hybrid) in line with internal policy and CBE regulatory restrictions.",,,,,,,,
,,,,A.6.7,Remote working,Not Applicable,Remote working is prohibited by bank policy; all work is performed within secured bank premises.,,,,,,,,
,,,,A.8.28,Secure coding,Not Applicable,The bank does not perform in-house application or software development.,,,,,,,,
,,,,A.8.29,Security testing in development and acceptance,Not Applicable,No internal software development or system acceptance testing is performed by the bank.,,,,,,,,
,,,,,,,,,,,,,,,
,,,,  ,"Separation of development, test, and production environments",Not Applicable,No internal development or test environments exist within the bank.,,,,,,,,
,,,,A.8.18,Use of privileged utility programs,Not Applicable,Privileged utility programs are not used; system administration is restricted to controlled vendor-supported tools only.,,,,,,,,
,,,,A.7.11,Supporting utilities,Not Applicable,Controls related to industrial or manufacturing utilities are not relevant to banking office environments.,,,,,,,,
,,,,A.7.14,Secure disposal or reuse of equipment,Not Applicable,Equipment is not reused outside the bank; disposal is handled entirely by certified third-party vendors under contract.,,,,,,,,
